RPS House Price Index © Copyright 2019 - All Rights Reserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Calgary_AB_Index,Calgary_AB_Value,Calgary_AB_YoY,Edmonton_AB_Index,Edmonton_AB_Value,Edmonton_AB_YoY,Halifax_NS_Index,Halifax_NS_Value,Halifax_NS_YoY,Hamilton_ON_Index,Hamilton_ON_Value,Hamilton_ON_YoY,Montreal_QC_Index,Montreal_QC_Value,Montreal_QC_YoY,Ottawa_Gatineau_ON_Index,Ottawa_Gatineau_ON_Value,Ottawa_Gatineau_ON_YoY,Québec_QC_Index,Québec_QC_Value,Québec_QC_YoY,Regina_SK_Index,Regina_SK_Value,Regina_SK_YoY,Saskatoon_SK_Index,Saskatoon_SK_Value,Saskatoon_SK_YoY,Toronto_ON_Index,Toronto_ON_Value,Toronto_ON_YoY,Vancouver_BC_Index,Vancouver_BC_Value,Vancouver_BC_YoY,Victoria_BC_Index,Victoria_BC_Value,Victoria_BC_YoY,Winnipeg_MB_Index,Winnipeg_MB_Value,Winnipeg_MB_YoY
200501,100,259530,0,100,210400,0,100,198220,0,100,212090,0,100,229060,0,100,253020,0,100,163670,0,100,136500,0,100,166160,0,100,340440,0,100,403920,0,100,372010,0,100,141510,0
200502,101,262130,0,101,212570,0,101.1,200450,0,101.3,214910,0,100.5,230250,0,100.4,254010,0,100.3,164160,0,100.8,137660,0,100.8,167520,0,100.7,342960,0,100.8,407190,0,101.2,376540,0,100.9,142740,0
200503,102,264760,0,102.1,214850,0,101.9,201940,0,102.6,217660,0,100.9,231130,0,100.8,254960,0,100.8,164970,0,101.6,138740,0,101.6,168840,0,101.6,345720,0,102.1,412410,0,102.6,381770,0,102,144370,0
200504,103.3,268150,0,103.1,216960,0,102.6,203290,0,103.8,220090,0,101.4,232210,0,101.2,256050,0,101.7,166510,0,102.3,139670,0,102.3,169900,0,102.4,348670,0,103.8,419350,0,104.4,388230,0,103.6,146550,0
200505,104.6,271460,0,104.2,219210,0,103.3,204670,0,104.7,222030,0,101.8,233190,0,101.8,257610,0,102.7,168040,0,103.1,140770,0,103.1,171240,0,103.3,351770,0,105.8,427350,0,106.5,396030,0,105.2,148840,0
200506,105.8,274560,0,105.3,221530,0,103.9,205980,0,105.7,224140,0,102.1,233970,0,102.5,259310,0,103.2,168980,0,104.2,142260,0,103.6,172170,0,104.2,354820,0,107.8,435610,0,108.4,403350,0,106.4,150580,0
200507,106.8,277090,0,106.3,223660,0,104.3,206820,0,106.3,225540,0,102.4,234550,0,103,260620,0,103.5,169330,0,105.1,143450,0,104.2,173210,0,104.9,357150,0,109.8,443410,0,110.3,410510,0,107.2,151680,0
200508,107.8,279690,0,107.2,225600,0,104.8,207660,0,106.7,226230,0,102.6,235080,0,103.4,261590,0,103.4,169240,0,105.9,144490,0,104.7,174030,0,105.3,358480,0,111.4,450090,0,111.9,416330,0,107.6,152260,0
200509,109,282840,0,108.1,227440,0,104.8,207800,0,106.7,226240,0,102.8,235560,0,103.6,262140,0,103.4,169250,0,106.3,145060,0,105.5,175370,0,105.5,359280,0,112.9,456210,0,113.4,421910,0,107.8,152580,0
200510,110.4,286590,0,109.1,229530,0,104.7,207490,0,106.8,226410,0,103.1,236170,0,103.8,262540,0,103.6,169520,0,106.8,145840,0,106.4,176770,0,105.8,360100,0,114.4,462070,0,114.9,427420,0,108.2,153050,0
